*** START OF AKTAHEADER ***
Başlık: All About Dogs
Yazar: Charles Henry Lane
Yayın Tarihi: April 14, 2014 [EBook #45377]
Dil: English
Link: https://www.gutenberg.org/ebooks/45377
Çeviri: Python-deep_translator-GoogleTranslator
*** END OF AKTAHEADER ***
The Project Gutenberg EBook of All About Dogs, by Charles Henry Lane

This eBook is for the use of anyone anywhere at no cost and with
almost no restrictions whatsoever.  You may copy it, give it away or
re-use it under the terms of the Project Gutenberg License included
with this eBook or online at www.gutenberg.org/license


Title: All About Dogs
       A Book for Doggy People

Author: Charles Henry Lane

Illustrator: R. H. Moore

Release Date: April 14, 2014 [EBook #45377]

Language: English

Character set encoding: ASCII

*** START OF THIS PROJECT GUTENBERG EBOOK ALL ABOUT DOGS ***

*** START OF TURKISH PART ***
Chris Curnow, monkeyclogs ve http://www.pgdp.net adresindeki Çevrimiçi
Dağıtılmış Düzeltme Ekibi tarafından üretilmiştir (Bu
dosya The Internet Archive tarafından cömertçe sağlanan
resimlerden üretilmiştir)

KÖPEKLER HAKKINDA HER ŞEY
_Köpek İnsanları İçin Bir Kitap_

TARAFINDAN
CHARLES HENRY LANE
_Yetiştirici, Sergi Sahibi, Jüri_

[İllüstrasyon: _Pellissier & Allen, Ph. Sc._
Chas. H. Lane]

KÖPEKLER HAKKINDA HER ŞEY

KÖPEK İNSANLARI İÇİN BİR KİTAP
CHARLES HENRY LANE'DEN

Yetiştirici, Sergi Sahibi, Jüri

ZAMANIMIZIN EN ÜNLÜ ŞAMPİYONLARININ SEKSEN YEDİ RESMİYLE
YAŞAMDAN ÇİZİLMİŞ

R. H. MOORE'DAN

[Resim: Çeşitli köpekler.]

JOHN LANE
LONDRA VE NEW YORK
1901

Telif Hakkı
JOHN LANE'e aittir
1900

RIGGS PRINTING CO.
ALBANY, N.Y., ABD

_Dünyanın dört bir yanındaki Köpek severlere ve hayranlarına,
BU KÜÇÜK KİTAP
Yazar tarafından saygıyla ithaf edilmiştir, en sadık, bağlı ve güvenilir
DOST
İnsan Irkının._

İLLÜSTRASYONLAR

ÖN RESİM. YAZARIN FOTOGRAVÜRÜ.

------------------+-----------------------+---------------------+-----------------
ÇEŞİT. | HAYVAN ADI. | SAHİBİN ADI. | Sayfa.
Suya bir parça taş kükürt koymak _iyi_ değildir, çünkü bir mineral olduğu için çözünmez ve içine bir parça kömür
koyabilirsiniz! Ancak, daha önce de söylediğim gibi, hayvanın boyutuna göre biraz "Kükürt Çiçeği", süte veya mamasına karıştırılarak
yararlı olur ve serinletici bir etkiye sahiptir ve bazen aynı amaçla az miktarda magnezyum da eklerim.

Her şeyden önce, köpeğin yaşadığı yerin kuru, kışın sıcak ve cereyandan uzak olduğundan emin olun.

Bence evcil hayvan olarak evde tutulan köpekler, kulübelerde tutulanlara göre hastalığa daha yatkındır, çünkü genellikle düzenli öğünleri veya kuralları yoktur, ancak sürekli olarak birçok kişi tarafından beslenirler ve bu nedenle ihtiyaç duyduklarından daha fazla yiyecek alırlar, ancak çok daha az egzersiz yaparlar.

Tavuk ve av kemikleri köpekler için arzu edilmez, çünkü
yutulduğunda bağırsaklara zarar verebilecek keskin parçalara ayrılırlar,
ancak diğer kemikler bazen köpekler için çok iyidir ve onlar tarafından çok
keyif alınır; ve serbest olduklarında, kedilerde olduğu gibi, sindirimleri için çok yararlı olan
çim yerler.

Çoğu köpek pirelerle, bazıları ise keneler ve diğer küçük
böceklerle, özellikle de yaz aylarında sorun yaşar. "Jeye's Purifier"ın zayıf bir solüsyonuyla ara sıra yıkamanın (herhangi bir eczaneden veya mağazadan temin edilebilir, şişelerde tam talimatlar bulunur) bu konuda büyük bir
iyileşme sağladığını ve eğer hayvanın cinsi küçükse veya içeride tutuluyorsa, küçük dişli bir tarakla ara sıra taranması, elinizde kaynar su dolu bir leğen olması ve "sonuçların" konulması gerekebilir. Hasta bir köpeğin tüm tedavilerinde, _unutmayın_
çok hassas ve sinirli bir hastayla uğraşıyorsunuz, çok nazik olun, sertlikten kaçının
veya onu korkutabilecek herhangi bir şeyden; herhangi bir sıvı ilaç verirken, _ağzını açmayın_, ancak yüzü sizinkiyle aynı yöne bakacak şekilde onu dizlerinizin arasına yerleştirin, çenesini nazikçe kaldırın ve dudaklarını dişlerinden çekerek ağzının bir tarafında bir bardak veya huni oluşturun, şişeden veya kaşıktan, içmesi gereken miktarı çok yavaşça dökün. Başını bir veya iki dakika yüksekte tutun ve dozu yutmazsa, ön dişlerinin arasına bir kaşık yerleştirin, bu, dikkatini ilaçtan uzaklaştırma etkisine sahip olacak ve genellikle hemen yutacaktır. Doz bir hap, bolus veya katı bir şeyse, başını daha önce belirtildiği gibi tutun, ancak sol el alt çenenin altında olacak şekilde, başparmağınız ve diğer parmaklarınızla üst ve alt çenenin birleştiği yerde her iki tarafa sıkıca bastırın. Bu genellikle, dozun ağza mümkün olduğunca arkaya, _dilinin üstüne_ (ya da tükürür) konması gerektiğinde ağzını açmasına ve
çenelerini biraz sert bir şekilde kapatmasına neden olur ve çoğu durumda iş biter. Ön patilerinin hareketiyle ilgili herhangi bir sorun çıkarsa, onu bir
şal veya kaba bir önlükle sararak bu sorun çözülebilir. Bir kere
bunun yoluna girdiğinizde, ne kadar basit olduğuna şaşıracaksınız. Deneyimli bir
sahip veya kulübe görevlisinin bir düzine köpeğe ilaç vereceğinden oldukça eminim,
bir acemi ise bir tanesine bile beceriksizlik yapıyordu!

_Distemper_ her yıl onlarca köpeği öldürür, ancak tüm köpeklerin buna _sahip olması gerektiğini_ varsaymak oldukça büyük bir hatadır. Muhtemelen, _olmadan_ daha fazla yaşadım, en kötüsü de farklı vakalarda çok farklı olması, böylece aynı tedavi herkes için işe yaramıyor; bazen beyin, bazen mide, bazen de akciğerler en çok etkilenir; iltihaplı ve çok zayıflatıcı bir karaktere sahiptir ve sıklıkla çok endişe verici ve sıkıntı verici olan şiddetli konvülsiyonlar ve nöbetlerle birlikte görülür. Genellikle burun ve gözlerden akıntı olur, ancak her zaman olmaz. Şikayet için olumlu ve kesin bir tedavi olup olmadığından şüpheliyim, ancak birçok kişi olduğunu iddia etse de, çok şey hastalığın aldığı biçime, verilen tedaviye ve hastanın yapısına bağlıdır. Semptomlar arasında büyük depresyon, halsizlik, yaşam ve iştahsızlık ve büyük bir uyuşukluk bulunur; ilaç olarak süte iki veya üç tane kalomel verilebilir; mümkünse hastaya içirilir
ki bazen hastalığın doğası gereği ateşi olduğu için bunu içecektir;
bazen aynı şekilde uygulanan küçük bir doz "James's Powders" iyi bir etki gösterir. Yiyecek olarak, kalın yulaf lapası, iyi et suyu veya bovril gibi hafif ve besleyici herhangi bir şey verilebilir. Önlemin tedaviden daha iyi olduğu eski atasözü burada geçerlidir ve genç köpeklere çok fazla beslenmez ve ara sıra bağırsakları bozuk olduğunda veya gözleri doğal görünmediğinde Epsom tuzu veya jalap verilir, gençken fazla et verilmez ve çok erken yaşta suya girmeleri engellenirse, genellikle bu ırkın belası önlenir.

Köpekler bazen uyuz ve egzama gibi _Deri rahatsızlıkları_ ile uğraşır, her ikisinin de beslenmedeki hatalardan ve özellikle ilkinde temizliğe gereken dikkatin verilmemesinden kaynaklandığı düşünülür. Her zaman kullanıma hazır tuttuğumuz, gerekirse biraz uygulamak için, devam edilirse kesin bir tedavi sağlamak için aşağıdakileri buldum. Eşit miktarda tren yağı ve parafin ve karışımın her bir quart'ına bir yemek kaşığı kara kükürt, etkilenen bölgelere, her iki günde bir bir sünger parçasıyla serbestçe uygulanır. Saldırı çok hafifse, yeterli miktarda Kükürt Çiçeği'ni domuz yağıyla karıştırarak yapılan az miktarda kükürt merhemi, oldukça sert bir merhem elde etmek için ve haftada iki veya üç kez, neden ortaya çıktığında bunu sürün. Küçük bir dozda
Epsom tuzu faydalı olacaktır. _Kulaktaki çapak_ özellikle büyük kulaklı ırklarda sorunludur, kulakları yıkamak için biraz şap ve su önerilir,
bunun içine dökülüp
kapakların kapatılıp
hafifçe ovulması gerekir; ancak ben şahsen, etkilenen bölgelere sürülen, oldukça nemli bir merhem olan biraz "Hippacea"nın (çoğu kimyagerde bulunur) çok fazla rahatlama sağladığını gördüm.

_Nöbetler_ genellikle distemper veya kurtçuklar nedeniyle oluşur, her zaman endişe vericidir, özellikle kulübelerden veya
evden uzakta meydana geldiklerinde, böyle bir durumda ya elimdeki birinden ödünç alırım ya da bir sepet veya kutu getiririm ve hastayı mümkün olan en kısa sürede eve götürürüm; mükemmel
sessizlik ve dinlenme çok önemlidir, sadece yüzüne biraz soğuk
su serpin ve onu bol miktarda saman veya talaş bulunan, düşerek kendine zarar veremeyeceği bir yere koyun, çünkü o an için oldukça bilinçsizdir ve yaptıklarından sorumlu değildir. İlaç alabildiğinde, nöbetlerin nedeninin gerektirdiği tedaviyi uygulayın, bunlar genellikle bahsettiğim nöbetlerdir, ancak aşırı güçsüzlükten kaynaklandığında, aşırı yüklenmiş bir emziren anne gibi, çok
ciddidirler. İyi bir profesyonel tavsiyenin alınabileceği ve hastanın bir evcil hayvan veya değerli bir hayvan olduğu herhangi bir nöbet durumunda, bununla başa çıkmaya
çalışılmaması daha iyidir.

_Astım_ beslenmedeki hatalardan kaynaklandığı varsayılır, ancak bazı köpek ırklarının buna diğerlerinden daha yatkın olduğu kesindir. Hafif besleyici
diyet, çok orta düzeyde egzersiz ve biraz açıcı ilaç
kesinlikle iyi bir etki yapacaktır, ancak bir kez ortaya çıktığında kurtulması zor bir şikayettir.

_İshal_ bazen köpeklerde beslenme konularına dikkatsizlikten kaynaklanır, ancak daha sıklıkla diğer uçtan muzdarip olurlar. Suya biraz
Epsom tuzu veya sulu yulaf lapası genellikle istenen sonucu verecektir, ancak köpek hala acı çekiyor gibi görünüyorsa, suya on veya on beş damla afyon tentürü verilebilir.

_Göz rahatsızlıkları_ bazı ırklarda nadir değildir, ancak göz o kadar hassas ve narin bir organdır ki, bu şekilde acı çeken bir hastaya sahip olabilecek okuyucularıma, herhangi bir talimat vermektense, alabilecekleri en iyi tavsiyeyi aramalarını tavsiye ediyorum.

_Yaralar_, ister kesik ister ezik olsun, bir acemi için başa çıkması oldukça zordur ve eğer bunu yaparsa, hem ısırılmasını önlemek hem de bandaj, alçı veya lapanın yırtılmasını önlemek için hastayı ağızlık takmalıdır; tabii ki ilk durumda, etkilenen bölge soğuk suyla nazikçe yıkanmalı ve kan tiftikle veya başka bir şekilde durdurulmalı ve mümkünse sıkıca bandajlanmalı ve yaranın kenarları yapışkan
alçıyla bir arada tutulmalı, her tarafı tiftikle sarılmalıdır. _Ezik yaralarda_ tüm yaralı bölgeleri içine alacak ve hastayı olabildiğince sakin tutacak kadar büyük bir ekmek lapası uygulayın ve sık sık değiştirin ve daha doyurucu bir karaktere sahip hafif besleyici bir diyetle gücünü koruyun. Bu bir "Köpek Kulübesi Rehberi" değildir (ancak okuyucularımdan bazılarının kabaca bilmedikleri bir şeyi öğrenmesini umuyorum) ve krallığın hemen hemen her bölgesinde, gerçek deneyimlerden bildiğim kadarıyla, köpek seyahatlerim sırasında çok sayıda kişiyle tanışmış olmama rağmen, veteriner cerrah olarak çalışan, köpeklerin ve sahiplerinin maruz kaldığı hastalıklar ve felaketler hakkında hayat boyu çalışma yapmış, son derece kalifiye beyefendiler vardır.

Sanırım artık evcil hayvan veya arkadaş olarak bakılabilecek veya bakılması muhtemel birçok cins hakkında biraz bilgi verdim ve kitabımın, bu amaç için hangi tür köpeğin seçileceği konusunda şüphe duyan herkes için bir _vade-mecum_ veya rehber oluşturması için yeterli oldu ve bu, çalışmanın başlamasını teşvik eden orijinal fikirdi.

Buradaki çizimler gerçek hayattan alınmıştır, konular çoğunlukla tipik örneklerdir ve en az yaygın veya günlük ırkların bazılarının iyi tiplerini göstermek için tanıtılmıştır. Sergilerde ve başka yerlerde sıkça duyduğumuz yorumlardan, birçok kişinin
en sıradan çeşitler dışında hepsi hakkında sadece belirsiz bir fikre sahip olması beni çok şaşırttı.

Bu tür bir eseri derlemek için bile meseleleri ve şeyleri düşünmek,
hem insanlar hem de hayvanlarla ilgili birçok unutulmuş olayı aklıma getirdi ve bu süreçte çok keyif aldım.
Kitabın, şimdiye kadar herhangi bir tür köpeği
tanımış veya hiç umursamamış olan birinin eline geçmesi durumunda,
bu kadar çok farklı çeşidin büyüleyici niteliklerini anlatmamla yeterince ilgilenebileceklerini, bunlardan bir veya daha fazlasını ele alabileceklerini ve ifadelerimin doğruluğunu test edebileceklerini umuyorum.
Bu ifadelerin gerçeğe ve yetiştirici, sergileyici ve şimdi uzun yıllardır bir yargıç olarak çok uzun ve pratik bir deneyime dayandığını söyleyebilirim. Bu süre zarfında, çoğu bilinen köpek çeşidini ve çoğu cinsi gerçekten de çok sık koruduğuma ve bunlar hakkında karar verdiğime inanıyorum.

Ve dikkatimi çeken binlerce köpeği göz önünde bulundurarak, genel olarak, sergileyenler tarafından muamelemde şikayet edecek fazla bir şey olmadığını söylemek zorundayım. Sergileyenler arasında sıklıkla hayvanları çok seven Majesteleri Kraliçe ve Kraliyet Ailesi'nin diğer üyeleri, soyluların ve soyluların önde gelen üyeleri ve orta, alt ve işçi sınıfından birçok kişi vardı.

Ve umarım bunun nedeni, gücüm yettiğince herkese eşit şekilde hizmet etmeye çalışmam, yani köpekleri, sahiplerini veya liderlerini değil, ele alınacak tek konu olarak görmem ve sergileyenlerin bunu bir yargıçta kabul ettiği yerlerde, kural olarak, sınıfları dolu dolu olur.

Sanırım, bu bölümde, başlığını haklı çıkarmak için yeterince şey söyledim ve umarım, küçük eserim için uygun bir "sonuç" oluşturdum, "Köpeklerle İlgili Her Şey".

SON.

BALLANTYNE, HANSON &. CO. tarafından basılmıştır.
Edinburgh & Londra

YAZDIRANIN NOTLARI

Orijinalinde aşağıdaki değişiklikler yapılmıştır:

Resimler, ilgili metinle uyumlu olması için kitaptaki orijinal konumlarından taşınmıştır.

Sayfa
i "Rough collies"den sonra gelen nokta virgülle değiştirilmiştir
20 "the skull should be" ifadesindeki "the" kelimesinin "t"si büyük harfle yazılmıştır
46 "seeen at our best shows" ifadesindeki "out" kelimesi "our" ile değiştirilmiştir.
85 "smooth basset hound" ifadesinden sonra gelen nokta eklenmiştir.
95 "Head, long and narrow" ifadesinden önce tırnak işaretleri eklenmiştir,
97 "WOODIWISS" ifadesine diğer örneklerle uyumlu olması için ikinci bir "S" eklenmiştir
99 "semi-erekt, small, well shape ears" ifadesindeki "senis" kelimesi "semi-" ile değiştirilmiştir;

100 "iş gibi"ye "iş gibi bak
onlar hakkında" ifadesinde bir tire eklendi
123 "ROPER" ifadesinden önce eksik tırnak işareti eklendi
133 "dik kulaklı" ve "düşük kulaklı" ifadelerine "daha
dik kulaklı, düşük kulaklıdan daha fazla" ifadesinde tire eklendi
178 "şampiyon Aşk Tanrısı'nın Ok'u, portresi" ifadesinde "Aşk Tanrısı"na bir kesme işareti eklendi
223 "RUFUS" ifadesine kapanış tırnak işaretleri eklendi
219 "şüphesiz iki çeşit var" ifadesinde "çeşitlilikler" ifadesi "çeşitlilikler" ifadesiyle değiştirildi
283 "Bayan P. Turner'ın
iyi bilinen
kulübesi, gösteriyor" ifadesinde "resimliyor" ifadesine ikinci bir "l" eklendi
308 "Pirene Koyun Köpeği" ifadesinde "Pirene" ifadesi "Pirene" ifadesiyle değiştirildi

322 "ustasının çağırdığı
Ben" ifadesinden sonra virgül noktayla değiştirildi
353 "XXI. BÖLÜM" ifadesindeki "XX" "XXI" ile değiştirildi
353 "KÖPEKLER HAKKINDA ANEKDOLAR" ve "(_Devam_) ve XXI. BÖLÜM" satırları tutarlılık için değiştirildi
394 "tedavi burada geçerlidir" ifadesindeki nokta noktayla değiştirildi

Tutarlılık için resim başlıklarındaki "Ch." ifadesinin tüm örnekleri "CH." ile değiştirildi.

Tutarlılık için eksik oldukları bölüm başlıklarından sonra nokta eklendi, örn. 205 "Bedlington" ifadesinden sonra nokta eklendi
"Bedlington. --Bu cins,"

Metindeki aşağıdaki tutarsızlıklar değiştirilmemiştir:

Orijinalinde kapatılmayan birkaç açılış tırnak işareti vardır.
Tırnağın nerede bittiği açık değildir, bu nedenle
kapatma tırnak işaretleri eklenmemiştir:

13 "Bacakları oklar gibi düz olsun
19 "Bu sürünün eğitimi harikulade;
50 "Gordon Setter.--
54 "İrlanda Setter.--
155 "Gerçek bir tip olarak düşündüğüm şey
205 "Bedlington Terrier hızlıdır,
354 "Bu hikaye bana şunu hatırlatıyor

Hangi yazımın doğru olduğu veya her iki yazımın da geçerli olduğu belirsiz olduğunda yazım tutarsızlığı korunmuştur. Aşağıdakiler
tanımlandı ve orijinalle kontrol edildi:

borzoi/borzois
Claude/CLAUD
dachshounds/dachshunds
Dumfrieshire/DUMFRIESSHIRE
Fauntleroy/Fontleroy
fox terrier/foxterrier
Grelliche/GRELICHE
Koenig/KOeNIG
SCHIPPERCHE/shipperke

Orijinalde birçok kelime değişken tirelemeye sahiptir. Bunlar
standardize edilmemiştir. Aşağıdakiler belirlendi ve kontrol edildi:

Bridford-parlak/Bridford parlak
çiy pençeleri/çiy pençeleri
Elk-hound/elkhound
düz tüylü/düz tüylü
ön bacaklar/ön bacaklar
günümüzde/günümüzde
Su samuru tazıları/ Su samuru tazıları
çoban köpeği/çoban köpeği/çoban köpeği
tepe düğümü/tepe düğümü

Charles Henry Lane'in All About Dogs adlı Project Gutenberg E-Kitabının Sonu

.
*** END OF TURKISH PART ***
*** END OF THIS PROJECT GUTENBERG EBOOK ALL ABOUT DOGS ***

***** This file should be named 45377.txt or 45377.zip *****
This and all associated files of various formats will be found in:
        http://www.gutenberg.org/4/5/3/7/45377/

Produced by Chris Curnow, monkeyclogs and the Online
Distributed Proofreading Team at http://www.pgdp.net (This
file was produced from images generously made available
by The Internet Archive)


Updated editions will replace the previous one--the old editions
will be renamed.

Creating the works from public domain print editions means that no
one owns a United States copyright in these works, so the Foundation
(and you!) can copy and distribute it in the United States without
permission and without paying copyright royalties.  Special rules,
set forth in the General Terms of Use part of this license, apply to
copying and distributing Project Gutenberg-tm electronic works to
protect the PROJECT GUTENBERG-tm concept and trademark.  Project
Gutenberg is a registered trademark, and may not be used if you
charge for the eBooks, unless you receive specific permission.  If you
do not charge anything for copies of this eBook, complying with the
rules is very easy.  You may use this eBook for nearly any purpose
such as creation of derivative works, reports, performances and
research.  They may be modified and printed and given away--you may do
practically ANYTHING with public domain eBooks.  Redistribution is
subject to the trademark license, especially commercial
redistribution.



*** START: FULL LICENSE ***

THE FULL PROJECT GUTENBERG LICENSE
PLEASE READ THIS BEFORE YOU DISTRIBUTE OR USE THIS WORK

To protect the Project Gutenberg-tm mission of promoting the free
distribution of electronic works, by using or distributing this work
(or any other work associated in any way with the phrase "Project
Gutenberg"), you agree to comply with all the terms of the Full Project
Gutenberg-tm License (available with this file or online at
http://gutenberg.org/license).


Section 1.  General Terms of Use and Redistributing Project Gutenberg-tm
electronic works

1.A.  By reading or using any part of this Project Gutenberg-tm
electronic work, you indicate that you have read, understand, agree to
and accept all the terms of this license and intellectual property
(trademark/copyright) agreement.  If you do not agree to abide by all
the terms of this agreement, you must cease using and return or destroy
all copies of Project Gutenberg-tm electronic works in your possession.
If you paid a fee for obtaining a copy of or access to a Project
Gutenberg-tm electronic work and you do not agree to be bound by the
terms of this agreement, you may obtain a refund from the person or
entity to whom you paid the fee as set forth in paragraph 1.E.8.

1.B.  "Project Gutenberg" is a registered trademark.  It may only be
used on or associated in any way with an electronic work by people who
agree to be bound by the terms of this agreement.  There are a few
things that you can do with most Project Gutenberg-tm electronic works
even without complying with the full terms of this agreement.  See
